id,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure,binaryClass
629,39,4,4,4,0,1,1,4,0,N
630,39,4,4,5,1,1,1,4,0,N
631,45,4,4,4,1,1,1,4,0,N
632,33,4,4,3,1,1,1,4,0,N
633,39,4,4,3,0,1,1,4,0,N
634,44,4,4,3,1,0,1,4,0,N
635,34,3,3,6,1,1,3,4,0,N
636,33,3,3,5,1,1,3,4,0,N
637,34,2,2,8,1,1,2,2,0,N
638,27,3,2,5,1,1,2,4,0,N
639,47,1,1,8,1,1,3,4,1,N
640,25,2,4,3,1,1,1,4,1,N
641,24,3,4,5,1,1,1,2,1,N
642,41,4,4,4,1,0,1,4,0,N
643,29,3,3,4,1,1,3,4,0,N
644,27,2,2,5,1,1,3,1,0,N
645,40,3,4,5,1,1,1,2,0,N
646,30,2,2,6,1,1,3,1,0,N
647,24,4,4,1,1,0,1,4,0,N
648,36,4,4,2,1,0,1,4,0,N
649,17,2,2,1,1,1,3,2,0,N
650,28,1,2,4,1,1,2,3,0,N
651,27,2,4,1,1,1,1,4,0,N
652,21,3,3,1,1,1,3,3,0,N
653,30,2,2,4,1,1,2,4,0,N
654,48,4,4,16,1,1,1,4,0,N
655,29,2,4,3,1,0,3,3,0,N
656,29,4,4,2,1,1,3,4,0,N
657,20,3,4,2,1,1,1,3,0,N
658,28,4,4,1,1,1,3,2,0,N
659,32,2,3,5,1,0,2,3,0,N
660,27,3,3,1,1,0,3,3,0,N
661,25,2,3,1,1,1,3,1,0,N
662,43,4,4,3,1,1,1,4,0,N
663,35,4,4,2,1,1,2,4,0,N
664,30,4,4,1,1,1,1,4,0,N
665,29,1,4,3,1,1,4,4,1,N
666,33,3,4,8,1,1,3,4,0,N
667,37,3,4,5,1,0,2,4,0,N
668,27,2,4,3,1,1,4,4,0,N
669,33,2,4,3,1,1,2,4,0,N
670,35,2,3,6,1,0,3,3,0,N
671,20,3,3,2,1,1,2,4,0,N
672,26,2,4,3,1,1,3,4,0,N
673,24,3,3,2,1,1,3,3,0,N
674,45,1,3,3,1,1,3,2,0,N
675,34,3,4,4,1,1,1,3,0,N
676,49,4,3,13,1,1,1,4,0,N
677,33,4,4,5,1,1,1,4,0,N
678,33,3,3,8,1,1,3,4,0,N
679,24,3,4,3,1,1,1,4,0,N
680,30,2,2,4,1,1,2,1,0,N
681,27,2,4,4,1,1,2,1,0,N
682,23,4,3,1,1,1,2,2,0,N
683,35,4,4,4,1,1,1,4,0,N
684,35,4,4,1,0,1,1,4,0,N
685,40,4,4,2,0,0,1,4,0,N
686,29,3,3,1,1,1,3,3,0,N
687,33,3,3,3,1,1,3,3,0,N
688,36,4,4,6,0,1,1,2,1,N
689,36,4,4,4,0,1,1,4,0,N
690,41,4,4,1,1,1,3,3,0,N
691,38,3,4,3,1,1,3,2,0,N
692,29,2,4,3,1,1,3,3,0,N
693,19,4,4,1,1,1,1,3,0,N
694,34,2,3,2,1,1,2,3,0,N
695,26,2,4,3,1,1,3,4,0,N
696,22,4,4,1,1,1,2,3,0,N
697,42,4,4,7,1,1,2,4,0,N
698,27,3,4,2,1,1,3,2,0,N
699,27,4,4,2,1,1,1,4,0,N
700,39,4,3,1,1,0,2,2,0,N
701,21,4,4,1,1,1,3,1,0,N
702,36,2,3,7,1,1,3,3,0,N
703,29,1,2,5,1,0,1,2,0,N
704,29,2,3,4,1,1,2,1,0,N
705,22,3,2,2,1,1,2,1,0,N
706,20,2,3,1,1,1,2,1,0,N
707,33,3,4,4,1,0,2,4,0,N
708,27,3,3,3,1,1,2,3,0,N
709,25,4,4,3,1,1,1,4,0,N
710,25,4,3,2,1,1,3,3,0,N
711,32,2,3,4,1,1,3,2,0,N
712,39,3,4,2,1,1,1,3,0,N
713,31,3,3,3,1,1,2,1,1,N
714,26,4,4,4,1,1,3,4,0,N
715,30,3,3,7,1,1,3,4,0,N
716,43,3,3,5,1,0,3,3,0,N
717,34,2,4,4,1,1,3,3,0,N
718,43,4,4,3,1,1,1,4,0,N
719,32,4,4,3,0,1,1,4,0,N
720,41,4,4,5,1,1,1,4,0,N
721,32,4,4,3,0,1,1,4,0,N
722,46,4,4,4,1,1,1,4,0,N
723,40,3,4,3,1,0,1,4,0,N
724,21,4,4,1,1,1,2,3,0,N
725,32,4,4,3,1,1,1,4,0,N
726,25,4,4,1,0,1,3,3,0,N
727,24,4,4,1,1,1,1,3,0,N
728,21,2,3,1,1,0,3,2,0,N
729,22,4,4,1,1,1,3,3,0,N
730,32,4,4,4,1,1,1,3,0,N
731,30,4,4,2,1,0,2,2,0,N
732,25,1,2,2,1,1,2,1,0,N
733,31,3,3,6,0,1,3,1,0,N
734,19,2,4,1,1,1,2,3,0,N
735,33,2,2,7,1,0,2,3,0,N
736,24,2,2,2,1,1,3,4,0,N
737,19,3,3,3,1,1,2,3,0,N
738,27,2,2,5,1,1,3,3,0,N
739,32,4,4,2,0,0,1,4,0,N
740,32,4,4,2,1,0,1,3,0,N
741,29,1,3,5,1,1,3,3,0,N
742,23,3,4,1,1,1,2,3,0,N
743,34,2,4,7,1,1,2,3,0,N
744,27,2,4,1,1,1,3,3,0,N
745,37,4,4,4,1,1,3,2,0,N
746,26,3,4,4,1,1,2,3,0,N
747,31,2,3,7,1,1,3,3,0,N
748,44,4,4,11,1,1,1,4,0,N
749,35,3,4,4,1,1,1,4,0,N
750,23,4,4,2,1,1,3,4,0,N
751,24,2,4,2,1,1,1,4,0,N
752,24,4,4,2,1,1,1,4,0,N
753,39,4,4,3,1,1,2,4,0,N
754,33,3,4,4,1,1,3,3,0,N
755,24,2,3,2,1,1,2,1,0,N
756,35,4,4,4,1,1,1,4,0,N
757,35,4,4,6,1,1,1,4,0,N
758,34,4,4,2,1,1,3,3,0,N
759,48,3,4,3,1,1,2,3,0,N
760,28,4,4,1,1,1,1,3,0,N
761,26,4,4,1,1,1,3,3,0,N
762,43,3,3,8,1,1,1,3,0,N
763,28,2,2,5,1,0,2,4,0,N
764,22,3,4,3,1,1,2,3,0,N
765,26,3,3,3,1,1,3,3,0,N
766,30,3,4,4,1,1,3,3,0,N
767,38,4,4,5,1,1,2,3,0,N
768,44,4,4,8,1,1,2,4,0,N
769,25,4,4,1,0,1,1,4,0,N
770,34,4,4,3,1,1,1,4,0,N
771,26,4,4,3,1,1,3,4,0,N
772,20,4,4,2,1,1,1,3,0,N
773,39,4,4,2,0,1,1,3,0,N
774,27,3,4,4,1,1,3,3,0,N
775,32,4,4,2,1,0,3,4,0,N
776,48,3,4,8,1,0,1,4,0,N
777,39,4,3,4,1,1,3,4,0,N
778,37,4,4,3,1,0,1,4,0,N
779,33,4,4,2,0,0,1,3,0,N
780,32,4,4,3,1,0,1,4,0,N
781,25,4,4,2,1,1,1,3,0,N
782,37,4,4,3,1,1,2,4,0,N
783,40,4,4,4,1,1,1,4,0,N
784,38,4,4,6,1,1,2,4,0,N
785,36,4,4,4,1,1,1,4,0,N
786,27,3,3,3,1,1,2,2,0,N
787,22,1,3,2,1,1,3,1,0,N
788,22,2,2,2,1,1,2,3,0,N
789,30,3,4,3,1,1,2,3,0,N
790,20,2,2,2,1,1,3,2,1,N
791,34,4,4,2,1,1,1,4,0,N
792,31,3,4,5,1,1,3,1,0,N
793,30,3,3,3,1,0,3,2,0,N
794,44,3,4,5,1,0,1,4,0,N
795,24,3,3,3,1,0,2,1,0,N
796,19,4,4,2,1,1,1,4,0,N
797,28,4,4,5,1,1,2,4,0,N
798,27,4,4,1,0,0,1,3,0,N
799,29,3,3,3,1,1,2,1,0,N
800,37,4,4,3,1,1,2,4,0,N
801,32,2,2,8,1,1,2,1,0,N
802,21,2,2,1,1,1,4,3,0,N
803,33,2,3,7,1,0,3,1,0,N
804,23,2,3,2,1,1,3,1,0,N
805,36,2,2,5,1,1,3,4,0,N
806,33,2,4,3,1,1,3,4,0,N
807,35,4,4,2,1,0,1,4,0,N
808,25,2,3,4,1,1,3,3,0,N
809,29,2,4,4,1,0,2,4,0,N
810,23,3,3,1,1,1,2,2,0,N
811,19,3,3,1,1,1,2,1,0,N
812,35,1,2,6,1,1,2,2,1,N
813,25,3,3,3,1,1,3,2,0,N
814,40,3,4,6,1,1,1,3,0,N
815,17,3,4,1,1,1,2,1,0,N
816,25,2,4,3,1,1,3,3,0,N
817,24,3,3,1,1,1,3,2,0,N
818,23,4,4,1,1,1,3,3,0,N
819,25,2,4,3,1,1,3,2,0,N
820,30,1,3,4,1,1,3,4,0,N
821,31,1,1,3,1,1,4,2,1,N
822,26,3,4,2,1,1,3,3,0,N
823,28,3,4,2,1,1,2,3,0,N
824,30,3,3,3,1,1,3,1,0,N
825,29,3,4,5,1,1,1,2,0,N
826,24,1,3,4,1,1,3,3,0,N
827,26,3,4,2,1,1,1,3,0,N
828,25,3,3,3,1,1,3,3,0,N
829,35,4,4,3,1,1,1,4,0,N
830,22,4,4,1,1,0,2,4,0,N
831,19,4,4,1,1,1,2,4,0,N
832,29,2,3,5,1,1,2,4,0,N
833,21,3,4,2,1,1,3,3,0,N
834,21,3,3,1,1,1,3,3,0,N
835,41,1,4,9,1,1,2,1,0,N
836,37,2,4,3,1,1,2,3,0,N
837,27,4,4,3,1,1,3,4,1,N
838,26,2,3,2,1,1,2,3,0,N
839,37,4,4,6,1,0,3,4,0,N
840,25,3,3,3,1,1,2,1,0,N
841,32,4,3,3,1,1,2,4,0,N
842,34,1,4,4,1,1,3,4,1,N
843,23,4,4,2,1,0,2,4,0,N
844,28,3,4,2,1,1,3,4,0,N
845,24,3,4,1,1,1,3,4,0,N
846,32,2,3,4,1,0,2,2,0,N
847,22,1,2,3,1,1,3,1,1,N
848,25,3,3,1,1,1,2,1,0,N
849,25,2,3,2,1,1,2,4,0,N
850,38,2,3,3,1,1,2,4,0,N
851,33,2,2,2,1,1,3,4,0,N
852,41,4,4,8,1,1,1,4,0,N
853,29,3,3,4,1,1,3,4,0,N
854,22,3,4,1,1,0,1,4,0,N
855,29,3,3,6,1,1,3,3,0,N
856,26,3,4,3,1,1,3,3,0,N
857,28,2,3,3,1,1,3,4,0,N
858,27,4,4,1,0,1,3,4,0,N
859,29,2,4,2,1,1,3,2,0,N
860,24,3,4,2,1,1,3,3,0,N
861,29,3,4,3,1,1,3,2,0,N
862,38,3,4,7,1,1,3,2,0,N
863,23,3,2,2,1,0,3,2,0,N
864,20,4,3,1,1,1,3,4,0,N
865,32,1,4,4,1,1,3,2,0,N
866,25,2,3,2,1,1,3,1,0,N
867,26,1,2,3,1,0,3,2,0,N
868,23,1,2,3,1,1,3,2,1,N
869,23,4,4,3,1,1,3,3,0,N
870,28,3,4,5,1,1,2,4,0,N
871,22,4,4,3,1,1,3,2,0,N
872,28,2,4,4,1,1,3,4,0,N
873,26,3,3,3,1,1,3,3,0,N
874,26,2,3,2,1,1,3,3,0,N
875,24,4,3,3,1,1,3,3,0,N
876,29,4,4,3,1,0,1,4,0,N
877,29,3,4,4,1,0,1,3,0,N
878,42,4,4,5,1,1,1,4,0,N
879,27,4,4,2,1,1,3,4,0,N
880,35,3,4,5,1,1,1,4,0,N
881,21,3,4,1,1,1,3,2,0,N
882,21,1,3,1,1,1,3,3,1,N
883,22,3,4,1,1,1,3,3,0,N
884,28,3,3,4,1,1,3,3,0,N
885,22,3,4,1,0,0,1,4,0,N
886,23,3,2,1,1,1,3,3,0,N
887,28,3,3,2,0,1,2,3,0,N
888,30,4,4,3,0,0,2,4,0,N
889,25,3,4,3,1,0,3,4,0,N
890,33,4,4,4,1,1,2,3,0,N
891,33,3,4,6,1,1,3,2,0,N
892,30,4,4,2,0,0,3,3,0,N
893,22,2,4,1,1,1,3,3,0,N
894,38,3,3,2,0,1,3,4,0,N
895,35,4,3,2,0,1,3,4,0,N
896,34,2,2,4,0,1,3,2,0,N
897,39,4,4,2,0,1,3,4,0,N
898,47,4,3,4,1,1,1,3,0,N
899,38,4,4,2,1,0,1,4,0,N
900,43,4,4,5,1,1,1,4,0,N
901,21,3,3,1,1,1,2,2,0,N
902,30,3,4,2,1,1,1,2,0,N
903,27,3,4,2,1,1,1,3,0,N
904,22,4,4,1,0,1,3,1,0,N
905,25,1,2,3,1,1,2,3,0,N
906,22,1,3,2,1,1,3,2,0,N
907,28,4,4,4,1,1,2,3,0,N
908,25,3,3,2,1,1,2,3,0,N
909,26,4,4,2,1,0,3,3,0,N
910,31,3,3,3,1,1,3,1,1,N
911,32,1,3,4,1,1,3,3,0,N
912,35,2,4,6,1,1,3,4,0,N
913,24,2,3,5,1,1,3,3,0,N
914,28,4,4,2,1,1,1,4,0,N
915,36,4,4,3,0,0,2,4,0,N
916,47,4,4,5,1,1,1,3,0,N
917,26,4,4,2,1,0,1,4,0,N
918,22,3,4,2,0,1,3,4,0,N
919,30,4,4,2,1,1,4,3,0,N
920,41,4,4,5,1,1,1,4,0,N
921,19,4,4,1,1,1,3,2,0,N
922,45,3,4,2,0,1,3,3,0,N
923,35,1,2,5,1,1,2,2,1,N
924,21,2,2,1,1,1,3,2,0,N
925,32,1,2,6,0,1,2,3,0,N
926,32,3,4,5,0,1,3,4,0,N
927,46,2,3,6,0,0,3,4,0,N
928,41,1,2,6,1,1,3,3,0,N
929,36,4,4,3,0,1,3,4,0,N
930,37,3,4,3,0,1,3,4,0,N
931,37,3,4,4,0,1,2,4,0,N
932,35,4,4,3,0,1,3,4,0,N
933,29,2,3,4,1,1,3,2,0,N
934,28,4,4,2,0,1,2,4,0,N
935,46,4,4,4,0,1,1,4,0,N
936,34,4,3,3,0,1,2,4,0,N
937,43,3,3,2,0,0,3,4,0,N
938,28,4,4,3,0,0,3,4,0,N
939,28,3,3,3,1,0,2,4,0,N
940,34,4,4,6,1,1,2,2,0,N
941,27,2,4,4,1,1,3,4,0,N
942,36,1,3,6,1,1,3,2,0,N
943,17,2,2,0,1,0,3,2,0,N
944,21,3,3,1,1,1,3,2,0,N
945,25,2,2,1,1,1,3,1,0,N
946,23,2,3,2,1,0,3,2,0,N
947,25,2,2,1,1,1,3,3,0,N
948,35,1,2,4,1,0,4,4,0,N
949,32,3,4,4,1,1,3,2,0,N
950,37,2,3,5,1,1,4,2,0,N
951,31,3,4,4,1,0,3,3,0,N
952,25,3,4,3,1,1,3,4,0,N
953,26,3,4,4,1,1,2,4,0,N
954,39,1,2,2,1,0,2,4,0,N
955,21,3,3,2,1,1,2,3,0,N
956,35,3,2,9,1,0,3,4,0,N
957,20,2,2,1,1,1,3,2,0,N
958,40,2,3,5,1,1,3,3,0,N
959,41,3,3,7,0,1,2,4,0,N
960,36,2,4,8,1,1,1,4,0,N
961,40,2,4,3,0,1,3,4,0,N
962,32,4,4,3,1,0,1,4,0,N
963,24,3,4,4,1,1,2,3,0,N
964,20,3,4,1,0,1,2,4,0,N
965,32,4,4,4,1,0,1,4,0,N
966,22,2,2,3,1,0,3,3,0,N
967,30,3,3,4,1,0,2,2,0,N
968,31,4,4,3,1,0,1,4,0,N
969,35,3,4,5,1,1,1,4,0,N
970,38,4,4,2,1,1,3,4,0,N
971,31,4,4,1,1,1,1,4,0,N
972,25,4,4,2,1,1,2,4,0,N
973,30,4,4,2,1,1,1,4,0,N
974,22,1,2,2,1,1,3,4,0,N
975,31,4,4,3,1,1,1,4,0,N
976,29,4,4,3,1,1,3,4,0,N
977,29,2,3,3,1,0,3,2,0,N
978,38,4,4,3,0,0,3,3,1,N
979,22,3,4,2,1,1,2,4,0,N
980,45,4,4,3,1,1,1,4,0,N
981,26,3,4,3,1,1,3,2,0,N
982,37,4,4,3,0,1,3,4,0,N
983,36,4,4,3,0,1,2,4,0,N
984,33,4,4,2,1,1,2,4,0,N
985,32,4,4,3,1,0,1,4,0,N
986,35,4,4,4,0,0,1,4,0,N
987,25,4,4,1,1,1,1,4,0,N
988,31,4,4,3,1,1,4,4,0,N
989,25,2,3,5,1,1,2,3,0,N
990,26,3,2,5,1,1,2,2,0,N
991,23,2,3,3,1,1,2,3,0,N
992,28,3,4,3,1,1,1,4,0,N
993,34,3,4,3,0,0,3,4,0,N
994,46,3,4,9,1,1,3,4,0,N
995,25,4,4,1,1,1,1,4,0,N
996,21,2,1,3,1,0,3,1,1,N
997,25,2,3,4,1,0,3,2,0,N
998,28,2,3,6,1,1,2,4,0,N
999,36,2,4,11,1,1,1,4,1,N
1000,46,1,2,9,1,0,3,4,1,N
1001,35,2,2,6,1,0,3,1,1,P
1002,41,3,2,11,1,1,2,3,0,P
1003,27,2,4,1,1,0,1,1,0,P
1004,25,4,4,0,1,0,3,4,0,P
1005,23,2,2,2,1,1,3,3,0,P
1006,48,1,1,1,1,0,3,3,1,P
1007,23,4,4,0,1,0,1,4,0,P
1008,31,3,4,2,1,1,3,3,0,P
1009,49,4,4,1,1,1,3,4,0,P
1010,42,2,3,2,1,1,1,4,0,P
1011,26,2,4,3,1,1,3,4,0,P
1012,21,2,2,1,1,1,3,2,0,P
1013,29,3,4,4,1,1,1,4,0,P
1014,38,1,2,12,1,1,2,3,0,P
1015,25,4,4,2,1,1,3,2,0,P
1016,22,4,4,0,1,1,3,2,0,P
1017,20,3,4,0,1,1,3,3,0,P
1018,35,4,4,1,1,1,1,3,0,P
1019,32,2,3,1,1,1,3,3,0,P
1020,38,2,4,3,1,1,1,3,0,P
1021,27,1,2,4,1,1,1,4,1,P
1022,41,2,4,1,1,1,2,3,0,P
1023,28,3,4,0,1,0,1,3,0,P
1024,23,4,4,1,1,0,3,3,0,P
1025,27,4,4,1,0,0,2,4,0,P
1026,33,4,4,2,0,1,1,4,0,P
1027,39,2,2,5,1,0,3,2,1,P
1028,41,2,2,5,0,1,2,2,0,P
1029,40,2,2,8,1,1,1,3,0,P
1030,43,3,4,10,1,1,3,3,0,P
1031,35,3,4,6,1,0,2,2,0,P
1032,32,3,4,0,1,1,3,4,0,P
1033,49,2,3,4,1,1,2,3,0,P
1034,47,2,2,4,1,1,3,1,0,P
1035,42,4,4,1,1,1,2,4,0,P
1036,48,4,4,4,0,1,1,4,0,P
1037,42,4,4,3,1,1,1,4,0,P
1038,37,4,4,2,1,1,1,4,0,P
1039,23,3,3,1,1,0,2,4,0,P
1040,24,3,4,0,1,0,2,3,0,P
1041,43,2,3,3,0,1,2,3,0,P
1042,24,3,3,2,1,0,3,2,0,P
1043,29,2,4,0,1,0,3,4,0,P
1044,45,1,1,0,0,0,2,1,0,P
1045,31,4,4,3,1,0,2,3,0,P
1046,44,1,4,9,1,1,1,2,0,P
1047,28,2,3,1,1,1,3,1,0,P
1048,28,3,4,1,0,1,2,2,0,P
1049,33,1,2,0,1,0,3,3,0,P
1050,43,4,4,6,1,1,1,3,0,P
1051,34,3,4,4,1,1,1,3,0,P
1052,36,1,4,2,1,1,2,2,0,P
1053,22,4,4,0,1,0,2,4,0,P
1054,35,2,3,8,1,1,3,3,1,P
1055,25,4,4,1,1,1,1,4,0,P
1056,43,1,2,8,1,1,2,2,1,P
1057,46,1,4,8,1,1,1,4,1,P
1058,27,3,4,2,1,1,1,3,0,P
1059,30,1,1,7,1,1,2,3,0,P
1060,25,4,4,1,1,1,3,4,0,P
1061,42,4,4,1,1,0,1,4,0,P
1062,30,1,3,1,1,1,3,4,0,P
1063,27,3,3,4,1,1,2,4,0,P
1064,45,2,3,11,1,1,2,3,0,P
1065,29,3,4,2,1,1,1,3,0,P
1066,36,1,4,1,1,1,3,3,0,P
1067,49,1,2,8,1,1,3,1,1,P
1068,47,1,4,7,1,1,2,3,0,P
1069,30,4,4,4,1,1,2,4,0,P
1070,24,2,3,2,1,1,3,1,0,P
1071,48,1,1,6,1,1,2,3,1,P
1072,47,1,2,2,1,1,2,3,1,P
1073,24,3,4,1,1,0,3,3,0,P
1074,48,3,4,5,1,1,2,3,0,P
1075,38,1,2,8,1,1,3,3,1,P
1076,45,3,4,0,1,1,1,3,0,P
1077,43,4,4,3,0,1,2,4,0,P
1078,33,1,1,5,1,1,3,1,1,P
1079,37,3,4,7,1,1,3,4,0,P
1080,36,2,1,6,1,1,2,3,0,P
1081,25,3,4,3,1,1,1,1,0,P
1082,49,4,4,6,0,0,1,4,0,P
1083,30,4,4,1,1,0,1,4,0,P
1084,35,4,4,5,1,1,1,4,0,P
1085,28,2,4,0,1,1,3,1,0,P
1086,30,4,2,0,1,0,3,3,0,P
1087,27,4,4,2,1,0,1,4,0,P
1088,45,2,4,8,1,1,2,3,0,P
1089,46,3,1,5,1,1,3,2,0,P
1090,28,1,4,0,1,0,4,1,0,P
1091,21,2,4,0,1,1,2,2,0,P
1092,20,3,4,2,1,1,3,3,0,P
1093,28,3,3,5,1,1,3,3,0,P
1094,25,3,3,1,1,1,2,2,0,P
1095,38,1,2,6,1,1,2,1,1,P
1096,20,3,4,1,1,1,3,2,0,P
1097,24,3,4,2,1,1,2,4,0,P
1098,39,3,1,1,1,1,2,3,0,P
1099,25,1,3,1,1,1,4,2,0,P
1100,23,3,4,4,1,1,3,1,1,P
1101,24,4,4,1,1,0,1,3,0,P
1102,26,4,4,3,1,1,1,4,0,P
1103,20,3,4,2,1,1,3,2,0,P
1104,31,3,3,1,1,0,3,4,0,P
1105,22,4,4,0,1,1,2,1,1,P
1106,36,2,3,6,1,1,2,3,0,P
1107,45,3,4,0,1,1,1,3,0,P
1108,47,2,2,7,1,1,2,2,0,P
1109,30,2,3,1,1,1,2,1,0,P
1110,35,4,4,3,1,1,1,4,0,P
1111,34,2,2,9,1,0,2,3,0,P
1112,28,4,4,1,1,0,1,3,0,P
1113,18,3,4,1,1,1,3,3,0,P
1114,25,2,3,2,1,1,3,2,0,P
1115,27,3,4,0,1,0,3,3,0,P
1116,21,4,4,1,1,1,3,4,0,P
1117,19,4,4,1,1,1,1,3,0,P
1118,26,4,4,0,1,1,3,4,0,P
1119,28,4,4,5,1,1,1,4,0,P
1120,38,1,3,4,1,0,2,2,0,P
1121,39,2,3,10,1,1,3,4,0,P
1122,45,2,3,6,1,1,3,2,1,P
1123,30,3,4,4,0,1,2,3,0,P
1124,47,2,4,2,1,1,3,2,1,P
1125,38,2,2,6,1,1,3,4,0,P
1126,42,3,3,5,1,1,2,2,0,P
1127,31,4,4,2,1,1,1,2,0,P
1128,44,1,2,2,1,1,3,1,0,P
1129,42,4,4,3,1,0,1,4,0,P
1130,28,4,4,2,1,1,1,3,0,P
1131,34,2,4,6,1,0,3,4,0,P
1132,45,1,3,7,1,0,1,3,0,P
1133,43,4,4,5,1,1,1,3,0,P
1134,28,3,4,0,1,0,3,4,0,P
1135,27,3,4,0,1,1,3,3,0,P
1136,26,2,3,1,1,0,4,4,0,P
1137,26,3,4,1,0,1,2,2,0,P
1138,37,3,4,4,1,0,2,4,0,P
1139,48,3,4,11,1,1,1,4,0,P
1140,47,2,3,12,1,1,3,1,0,P
1141,22,2,4,1,1,1,3,4,0,P
1142,48,4,4,1,0,1,1,4,0,P
1143,42,1,3,12,1,1,2,4,0,P
1144,32,4,4,3,1,1,1,4,0,P
1145,33,4,4,3,0,0,1,3,0,P
1146,45,4,4,1,1,0,1,4,0,P
1147,26,2,3,1,1,0,3,4,1,P
1148,45,4,4,1,1,1,1,4,0,P
1149,25,3,3,1,1,0,2,4,0,P
1150,36,4,3,3,1,0,3,2,0,P
1151,31,3,3,2,1,0,3,3,0,P
1152,22,3,4,2,1,1,3,3,0,P
1153,46,4,4,10,1,1,1,3,0,P
1154,26,2,3,3,1,1,3,4,0,P
1155,25,3,2,1,1,0,3,3,0,P
1156,20,4,4,0,0,0,2,4,0,P
1157,31,3,4,3,0,0,2,4,0,P
1158,36,3,3,3,0,0,2,3,1,P
1159,47,3,2,5,1,1,4,4,0,P
1160,43,3,4,2,0,1,3,4,0,P
1161,20,3,4,0,1,1,3,3,0,P
1162,24,4,4,4,1,1,1,4,0,P
1163,33,2,2,3,0,0,2,4,0,P
1164,41,3,4,3,0,1,2,4,0,P
1165,48,3,4,4,0,1,2,4,0,P
1166,32,4,4,1,0,1,1,4,0,P
1167,38,3,3,4,0,0,3,2,1,P
1168,48,3,4,8,1,1,3,3,0,P
1169,34,1,3,4,1,0,3,4,0,P
1170,31,1,1,6,1,1,3,2,0,P
1171,46,1,2,7,1,1,3,1,1,P
1172,45,2,2,7,1,1,3,1,1,P
1173,34,3,4,4,0,1,3,1,1,P
1174,16,2,4,1,1,1,3,4,0,P
1175,18,3,2,1,1,1,3,1,0,P
1176,22,2,2,1,1,1,3,1,1,P
1177,32,2,2,2,1,1,2,4,0,P
1178,41,1,3,3,1,0,2,4,0,P
1179,22,3,3,2,1,1,2,4,0,P
1180,23,3,2,0,1,1,2,2,0,P
1181,22,3,4,0,1,0,3,4,0,P
1182,40,2,2,6,1,1,2,2,1,P
1183,29,3,4,1,0,1,2,3,0,P
1184,42,4,4,0,0,0,3,4,0,P
1185,29,3,4,2,1,1,3,4,0,P
1186,31,3,2,1,1,1,3,4,0,P
1187,28,4,4,3,0,0,1,4,0,P
1188,21,2,3,0,1,1,3,4,0,P
1189,26,4,4,2,1,1,1,3,0,P
1190,37,3,4,0,1,1,3,4,0,P
1191,24,3,4,2,1,1,2,2,0,P
1192,25,4,4,0,0,1,2,4,0,P
1193,22,2,1,0,1,1,2,2,0,P
1194,45,4,4,1,1,1,1,4,0,P
1195,47,4,4,1,1,1,1,4,0,P
1196,28,4,4,5,1,0,3,4,0,P
1197,24,2,2,4,1,1,3,4,0,P
1198,34,3,3,6,1,1,2,3,0,P
1199,47,2,3,5,1,1,1,1,0,P
1200,31,3,4,2,1,1,1,4,0,P
1201,26,1,3,1,1,1,3,1,0,P
1202,25,4,4,3,1,1,1,2,0,P
1203,47,1,1,4,1,1,2,2,0,P
1204,48,1,1,8,1,1,1,1,1,P
1205,38,2,2,10,1,1,3,2,0,P
1206,32,1,3,4,1,1,2,2,1,P
1207,47,1,2,2,1,1,2,4,0,P
1208,27,4,4,3,1,1,1,4,0,P
1209,40,1,1,0,1,1,3,2,0,P
1210,46,4,4,6,1,1,1,4,0,P
1211,33,3,3,3,1,1,3,4,0,P
1212,49,1,2,5,1,0,2,2,1,P
1213,21,2,4,3,1,1,3,2,0,P
1214,31,4,4,0,0,0,2,4,0,P
1215,42,4,4,4,1,1,3,4,0,N
1216,35,4,4,3,1,1,1,4,0,N
1217,31,4,4,4,1,1,3,3,0,N
1218,42,4,4,6,1,1,1,3,0,N
1219,49,3,4,4,1,1,3,4,0,N
1220,21,4,4,1,1,1,1,3,0,N
1221,28,3,4,3,1,1,1,4,0,N
1222,22,4,4,1,1,1,1,3,0,N
1223,36,4,4,3,1,0,1,4,0,N
1224,45,2,2,9,1,1,3,3,0,N
1225,40,4,4,4,1,1,1,4,0,N
1226,30,2,2,7,1,1,3,4,0,N
1227,35,4,4,5,1,0,1,4,0,N
1228,26,2,4,2,1,1,1,4,0,N
1229,45,4,4,3,1,1,1,4,0,N
1230,27,3,3,2,1,1,3,4,0,N
1231,32,4,4,4,1,1,1,2,0,N
1232,27,4,4,3,1,1,1,3,0,N
1233,28,4,4,2,0,1,1,4,0,N
1234,30,4,4,3,1,1,2,1,0,N
1235,34,4,4,4,1,1,2,4,0,N
1236,26,3,4,3,1,1,2,3,0,N
1237,44,1,4,2,1,1,1,3,0,N
1238,29,4,4,3,1,1,1,4,0,N
1239,26,3,4,2,1,1,3,3,0,N
1240,41,4,4,8,1,1,1,4,0,N
1241,32,3,3,4,1,0,3,3,0,N
1242,23,3,1,1,1,0,3,3,0,N
1243,38,2,3,4,1,1,1,2,0,N
1244,22,4,4,1,1,0,2,2,0,N
1245,34,3,4,3,0,1,1,4,0,N
1246,38,3,4,7,0,1,2,3,0,N
1247,21,4,4,1,1,1,1,4,0,N
1248,43,1,3,4,1,1,1,4,0,N
1249,44,3,3,9,1,1,1,1,0,N
